System,Motor Type,Motor Name, Type,CAN ID (IDEAL)
Swerve Drive,Vortex,Front Left Drive,SparkFlex Vortex,1
Swerve Drive,Vortex,Front Right Drive,SparkFlex Vortex,3
Swerve Drive,Vortex,Back Left Drive,SparkFlex Vortex,5
Swerve Drive,Vortex,Back Right Drive,SparkFlex Vortex,7
Swerve Drive,NEO 550,Front Left Angle,SparkMax Neo550,2
Swerve Drive,NEO 550,Front Right Angle,SparkMax Neo550,4
Swerve Drive,NEO 550,Back Left Angle,SparkMax Neo550,6
Swerve Drive,NEO 550,Back Right Angle,SparkMax Neo550,8
Shooter,Vortex,Right Shooter R,SparkFlex,9  
Shooter,Vortex,Right Shooter L,SparkFlex,10
Shooter,Vortex,Left Shooter R,SparkFlex,11
Shooter,Vortex,Left Shooter L,SparkFlex,12
Kicker,Vortex,Kicker L,SparkFlex,13
Kicker,Vortex,Kicker R,SparkFlex,14
Belts,Kraken x60,Twindexer L,SparkFlex,15
Pushout Left,Vortex,Pushout,SparkFlex,16
Pushout Right,Vortex,Pushout,SparkFlex,17
Intake,Vortex,Intake L,SparkFlex,18
Intake,Vortex,Intake R,SparkFlex,19
